#,admin4Pcode,admin4Name_eng,admin4Name_ukr,admin4Na_1_rus,admin4ClassType,admin4PoliticalType,admin3Pcode,admin3Name_eng,admin3Name_ukr,admin3Name_rus,admin3PoliticalType,admin2Pcode,admin2Name_eng,admin2Name_ukr,admin2Name_rus,admin2ClassType,admin2PoliticalType,admin1Pcode,admin1Name_eng,admin1Name_ukr,admin1Name_rus,admin1ClassType,Population,Population_source,X Longitude,Y Latitude,IDP location Cluster,IDP estimation
113,UA0702021002,Ambukiv,Амбуків,Амбуков,сільські населені пункти (СНП),,UA0702021,Ustyluzka,Устилузька,Устилугская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,232,Census 2001,23.98360824,50.79251208,1,232
134,UA5114015002,Anhelinivka,Ангелінівка,Ангелиновка,сільські населені пункти (СНП),,UA5114015,Stepanivska,Степанівська,Степановская,сільська ОТГ,UA5114,Rozdilnianskyi,Роздільнянський,Раздельнянский,район,,UA51,Odeska,Одеська,Одесская,область,278,Census 2001,29.947079,46.89472575,1,278
188,UA5104013002,Andriivka,Андріївка,Андреевка,сільські населені пункти (СНП),,UA5104013,Molohivska,Мологівська,Мологовская,сільська ОТГ,UA5104,Bilhorod-Dnistrovskyi,Білгород-Дністровський,Белгород-Днестровский,район,,UA51,Odeska,Одеська,Одесская,область,1203,Census 2001,30.08246164,46.21911493,1,1203
282,UA5114013003,Antonivka,Антонівка,Антоновка,сільські населені пункти (СНП),,UA5114013,Rozdilnianska,Роздільнянська,Раздельнянская,міська ОТГ,UA5114,Rozdilnianskyi,Роздільнянський,Раздельнянский,район,,UA51,Odeska,Одеська,Одесская,область,67,Census 2001,30.09920442,46.77082062,1,67
347,UA4614003002,Arlamivska Volia,Арламівська Воля,Арламовская Воля,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,1558,Census 2001,23.22650288,49.84427195,1,1558
394,UA2102007002,Astei,Астей,Астей,сільські населені пункти (СНП),,UA2102007,Velykobyihanska,Великобийганська,Великобыйганская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,672,Census 2001,22.59481337,48.16905867,1,672
422,UA0706005002,Babatsi,Бабаці,Бабаци,сільські населені пункти (СНП),,UA0706005,Vyshnivska,Вишнівська,Вишневская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,24,Census 2001,23.98522185,51.17797448,1,24
493,UA7306023002,Bahrynivka,Багринівка,Багриновка,сільські населені пункти (СНП),,UA7306023,Kamianetska,Кам'янецька,Каменская,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1438,Census 2001,25.9452408,47.98327984,1,1438
495,UA2102003002,Badalovo,Бадалово,Бадалово,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1714,Census 2001,22.6419517,48.11089975,1,1714
496,UA2102001002,Badiv,Бадів,Бадов,сільські населені пункти (СНП),,UA2102001,Bativska,Батівська,Батьевская,селищна ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,546,Census 2001,22.35283591,48.35551882,1,546
539,UA7306013002,Bairaky,Байраки,Байраки,сільські населені пункти (СНП),,UA7306013,Hertsaivska,Герцаївська,Герцаевская,міська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1868,Census 2001,26.13115775,48.11411218,1,1868
559,UA2102001003,Bakosh,Бакош,Бакош,сільські населені пункти (СНП),,UA2102001,Bativska,Батівська,Батьевская,селищна ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,988,Census 2001,22.34938141,48.37069497,1,988
576,UA2102003003,Balazher,Балажер,Балажер,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,816,Census 2001,22.60379538,48.24791887,1,816
602,UA4614009002,Balychi,Баличі,Баличи,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,977,Census 2001,23.02646505,49.76843598,1,977
615,UA7304009002,Balkivtsi,Балківці,Балковцы,сільські населені пункти (СНП),,UA7304009,Mamalyhivska,Мамалигівська,Мамалыговская,сільська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1577,Census 2001,26.57178976,48.35414613,1,1577
657,UA2110001001,Baranyntsi,Баранинці,Баранинцы,сільські населені пункти (СНП),центр сільської ОТГ,UA2110001,Baranynska,Баранинська,Баранинская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1609,Census 2001,22.32716508,48.5693079,1,1609
693,UA2110001002,Barvinok,Барвінок,Барвинок,сільські населені пункти (СНП),,UA2110001,Baranynska,Баранинська,Баранинская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,413,Census 2001,22.35166942,48.56711779,1,413
706,UA2102001004,Barkasovo,Баркасово,Баркасово,сільські населені пункти (СНП),,UA2102001,Bativska,Батівська,Батьевская,селищна ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,2236,Census 2001,22.49197504,48.3651032,1,2236
729,UA2102001005,Batrad,Батрадь,Батрадь,сільські населені пункти (СНП),,UA2102001,Bativska,Батівська,Батьевская,селищна ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1792,Census 2001,22.40384237,48.31731976,1,1792
731,UA2110019002,Batfa,Батфа,Батфа,сільські населені пункти (СНП),,UA2110019,Siurtivska,Сюртівська,Сюртивская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,231,Census 2001,22.18937946,48.56921725,1,231
737,UA2102001001,Batovo,Батьово,Батьево,селища міського типу (СМТ),центр селищної ОТГ,UA2102001,Bativska,Батівська,Батьевская,селищна ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,3061,Census 2001,22.39705195,48.36367838,1,3061
780,UA2110003002,Behendiatska Pastil,Бегендяцька Пастіль,Бегендяцкая Пастиль,сільські населені пункти (СНП),,UA2110003,Velykobereznianska,Великоберезнянська,Великоберезнянская,селищна ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,190,Census 2001,22.50678745,48.86284587,1,190
843,UA2102003004,Bene,Бене,Бэнэ,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1409,Census 2001,22.75844526,48.16560203,1,1409
875,UA2102003001,Berehove,Берегове,Берегово,міста,"центр району, місто обласного значення, центр міської ОТГ",UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,24458,Census 2001,22.63802919,48.20495837,1,24458
885,UA2102005002,Berehuifalu,Берегуйфалу,Берегуйфалу,сільські населені пункти (СНП),,UA2102005,Velykoberezka,Великоберезька,Великобережская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1925,Census 2001,22.79894187,48.27130918,1,1925
904,UA4612013005,Berezhne,Бережне,Бережное,сільські населені пункти (СНП),,UA4612013,Chervonohradska,Червоноградська,Червоноградская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,60,Census 2001,24.17801154,50.43581346,1,60
918,UA0706005003,Berezhtsi,Бережці,Бережцы,сільські населені пункти (СНП),,UA0706005,Vyshnivska,Вишнівська,Вишневская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,711,Census 2001,23.87378063,51.1584115,1,711
