data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8898037,804,UKR52664,52664,2022-03-04,2022,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Chernihiv,Chernihivskyi,Chepnigivska,Chernihiv,51.5055,31.2849,1,"24 Channel; DPA",National-Regional,"On 4 March 2022, the Russian military forces launched an airstrike on the city Chernihiv, Ukraine. As a result, 33 civilians were killed and 18 injured.",33,1646783636,UKR
8898038,804,UKR52667,52667,2022-03-04,2022,1,Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Donetsk,Bakhmutskyi,Svitlodarska,Mykolayivka,48.4861,38.0311,1,"Segodnya; 24 Channel",National,"On 4 March 2022, clashes took place between the Russian military forces and the Ukrainian military forces in Mykolayivka, Donetsk. While at first the Russian military forces managed to capture some parts of the city, later in the day the Ukrainian military forces regained control of the city. Casualties unknown.",0,1646783636,UKR
8898039,804,UKR52706,52706,2022-03-04,2022,1,Protests,"Peaceful protest","Protesters (Ukraine)",,6,,,0,60,Europe,Ukraine,Luhansk,Starobilskyi,Novopskovska,Novopskov,49.5464,39.0899,1,"24 Channel; Segodnya",National,"On 4 March 2022, hundreds of residents of Novopskov protested in Novopskov, Luhansk, against the Russian occupation of the city and the Russian aggression in Ukraine. [size=hundreds]",0,1646783636,UKR
8898043,804,UKR52723,52723,2022-03-04,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Kyiv,Vyshhorodskyi,Dymerska,Kozarovychi,50.7559,30.3514,1,"Centre for Information Resilience; Twitter","New media","On 4 March 2022, Ukrainian forces shelled a compound allegedly housing Russian paratroopers in the village of Kozarovychi, Kyiv oblast. Casualties unknown.",0,1646783636,UKR
8898044,804,UKR52724,52724,2022-03-04,2022,1,Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Kyiv,Buchanskyi,Buchanska,Bucha,50.5435,30.2120,1,"Twitter; Centre for Information Resilience","New media","On 4 March 2022, an armed clash occurred between Russian and Ukrainian military forces in Bucha, Kyiv oblast. Casualties unknown.",0,1646783636,UKR
8898046,804,UKR52716,52716,2022-03-04,2022,1,Protests,"Peaceful protest","Protesters (Ukraine)",,6,,,0,60,Europe,Ukraine,Zaporizhia,Melitopolskyi,Melitopolska,Melitopol,46.8489,35.3653,1,061.ua,Subnational,"On 4 March 2022, residents of Melitopol marched and protested in Melitopol, Zaporizhia, against the Russian occupation of the city and the Russian aggression in Ukraine. [size=no report]",0,1646783636,UKR
8898067,804,UKR52677,52677,2022-03-04,2022,1,Protests,"Peaceful protest","Protesters (Ukraine)",,6,,,0,60,Europe,Ukraine,Kherson,Khersonskyi,Hersonska,Kherson,46.6558,32.6178,1,"24 Channel",National,"On 4 March 2022, residents of Kherson protested in Kherson, Ukraine calling against the Russian invasion of Ukraine. Additionally, the protesters peacefully blocked the Russian convoy from entering the city by standing on the road and blocking it. [size=no report]",0,1646783636,UKR
8898079,804,UKR52702,52702,2022-03-04,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,"Kyiv City",Kyiv,,Kyiv,50.4496,30.5224,1,"24 Channel",National,"On 4 March 2022, the Russian military forces shelled Kyiv, Ukraine. There were no fatalities but some people were wounded.",0,1646783636,UKR
8898101,804,UKR52678,52678,2022-03-04,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Kherson,Khersonskyi,Hersonska,Kherson,46.6558,32.6178,1,"24 Channel",National,"On 4 March 2022, the Russian military forces shelled Kherson, Ukraine as a result of which two loud explosions were heard in the city. Kherson is currently under Russian occupation. Casualties are unknown.",0,1646783636,UKR
8898115,804,UKR52688,52688,2022-03-04,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,Europe,Ukraine,Kyiv,Buchanskyi,Irpinska,Irpin,50.5218,30.2506,1,Focus,National,"On 4 March 2022, the Russian military forces shelled a civilian apartment building in Irpin, Kyiv. No one was injured in the attack.",0,1646783636,UKR
8898119,804,UKR52710,52710,2022-03-04,2022,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.4639,30.7386,3,Focus,National,"On 4 March 2022, a bridge that connects Transnistria and Odesa region was blown up by presumably Ukrainian forces to prevent the Russian military forces from attacking Ukraine from Transnistria.",0,1646783636,UKR
8898126,804,UKR52676,52676,2022-03-04,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Kharkiv,Kharkivskyi,Merefianska,Yakovlivka,49.8271,36.1387,1,Liveuamap,"Local partner-New media","On 4 March 2022, the Russian military forces shelled the village Yakovlivka, Kharkiv almost destroying the whole village. Four civilians were killed.",4,1646783636,UKR
